,Front,Back,Audio
193,impossible,impossible,[sound:impossible.mp3]
194,normal,normal,[sound:normal.mp3]
195,money,argent,[sound:argent.mp3]
196,between,entre,[sound:entre.mp3]
197,give,donner,[sound:donner.mp3]
198,hormones,hormones,[sound:hormones.mp3]
199,range,gamme,[sound:gamme.mp3]
200,punch,coup de poing,[sound:coup de poing.mp3]
201,own,propre,[sound:propre.mp3]
202,his,son,[sound:son.mp3]
203,few,peu,[sound:peu.mp3]
204,most,le plus,[sound:le plus.mp3]
205,point,point,[sound:point.mp3]
206,will,volonté,[sound:volonté.mp3]
207,also,aussi,[sound:aussi.mp3]
208,currently,actuellement,[sound:actuellement.mp3]
209,bad,mauvais,[sound:mauvais.mp3]
210,boys,garçons,[sound:garçons.mp3]
211,without,sans,[sound:sans.mp3]
212,happen,se produire,[sound:se produire.mp3]
213,personal,personnel,[sound:personnel.mp3]
214,1,1,[sound:1.mp3]
215,anybody,personne,[sound:personne.mp3]
216,dudes,les mecs,[sound:les mecs.mp3]
217,after,après,[sound:après.mp3]
218,complicated,compliqué,[sound:compliqué.mp3]
219,god,dieu,[sound:dieu.mp3]
220,girls,filles,[sound:filles.mp3]
221,female,femme,[sound:femme.mp3]
222,need,besoin,[sound:besoin.mp3]
223,supposed,supposé,[sound:supposé.mp3]
224,training,formation,[sound:formation.mp3]
225,sorry,désolée,[sound:désolée.mp3]
226,engine,moteur,[sound:moteur.mp3]
227,transitioning,transition,[sound:transition.mp3]
228,cylinder,cylindre,[sound:cylindre.mp3]
229,output,sortie,[sound:sortie.mp3]
230,four,quatre,[sound:quatre.mp3]
231,nothing,rien,[sound:rien.mp3]
232,lung,poumon,[sound:poumon.mp3]
233,women,femmes,[sound:femmes.mp3]
234,against,contre,[sound:contre.mp3]
235,guy,gars,[sound:gars.mp3]
236,thinking,pensée,[sound:pensée.mp3]
237,ability,capacité,[sound:capacité.mp3]
238,within,à l'intérieur,[sound:à l'intérieur.mp3]
239,machine,machine,[sound:machine.mp3]
240,trash,déchets,[sound:déchets.mp3]
241,tons,tonnes,[sound:tonnes.mp3]
242,arms,bras,[sound:bras.mp3]
243,around,autour,[sound:autour.mp3]
244,any,tout,[sound:tout.mp3]
245,despite,malgré,[sound:malgré.mp3]
246,100,100,[sound:100.mp3]
247,thought,pensé,[sound:pensé.mp3]
248,n't,n'est pas,[sound:n'est pas.mp3]
249,automatically,automatiquement,[sound:automatiquement.mp3]
250,long,long,[sound:long.mp3]
251,into,en,[sound:en.mp3]
252,expectations,attentes,[sound:attentes.mp3]
253,situation,situation,[sound:situation.mp3]
254,makes,fait,[sound:fait.mp3]
255,team,équipe,[sound:équipe.mp3]
256,run,courir,[sound:courir.mp3]
257,had,avait,[sound:avait.mp3]
258,up,en,[sound:en.mp3]
259,attractive,attractif,[sound:attractif.mp3]
260,overall,général,[sound:général.mp3]
261,life,vie,[sound:vie.mp3]
262,drops,gouttes,[sound:gouttes.mp3]
263,honda,honda,[sound:honda.mp3]
264,damn,sacré,[sound:sacré.mp3]
265,type,type,[sound:type.mp3]
266,put,mettre,[sound:mettre.mp3]
267,i'm,i'm,[sound:i'm.mp3]
268,power,puissance,[sound:puissance.mp3]
269,suggest,suggérer,[sound:suggérer.mp3]
270,opinion,opinion,[sound:opinion.mp3]
271,massive,massif,[sound:massif.mp3]
272,argument,argument,[sound:argument.mp3]
273,should,devrait,[sound:devrait.mp3]
274,done,fait,[sound:fait.mp3]
275,important,important,[sound:important.mp3]
276,win,gagner,[sound:gagner.mp3]
277,amount,montant,[sound:montant.mp3]
278,magical,magique,[sound:magique.mp3]
279,build,construire,[sound:construire.mp3]
280,optimal,optimal,[sound:optimal.mp3]
281,properly,correctement,[sound:correctement.mp3]
282,jump,sauter,[sound:sauter.mp3]
283,solid,solide,[sound:solide.mp3]
284,ferrari,ferrari,[sound:ferrari.mp3]
285,strong,solide,[sound:solide.mp3]
286,deal,affaire,[sound:affaire.mp3]
287,weeks,semaines,[sound:semaines.mp3]
288,by,par,[sound:par.mp3]
289,testosterone,testostérone,[sound:testostérone.mp3]
290,possible,possible,[sound:possible.mp3]
291,ridiculous,ridicule,[sound:ridicule.mp3]
292,throw,jeter,[sound:jeter.mp3]
293,surgery,chirurgie,[sound:chirurgie.mp3]
294,compete,compétition,[sound:compétition.mp3]
295,putting,mettre,[sound:mettre.mp3]
296,wise,sage,[sound:sage.mp3]
297,however,cependant,[sound:cependant.mp3]
298,trained,formé,[sound:formé.mp3]
299,punched,frappé,[sound:frappé.mp3]
300,catharsis,catharsis,[sound:catharsis.mp3]
301,elon,élon,[sound:élon.mp3]
302,obviously,évidemment,[sound:évidemment.mp3]
303,taking,prendre,[sound:prendre.mp3]
304,lunch,déjeuner,[sound:déjeuner.mp3]
305,years,années,[sound:années.mp3]
306,casual,décontracté,[sound:décontracté.mp3]
307,order,commander,[sound:commander.mp3]
308,large,grand,[sound:grand.mp3]
309,literally,littéralement,[sound:littéralement.mp3]
310,crazy,fou,[sound:fou.mp3]
311,irregardless,sans tenir compte,[sound:sans tenir compte.mp3]
312,become,devenir,[sound:devenir.mp3]
313,wait,attendre,[sound:attendre.mp3]
314,works,œuvre,[sound:œuvre.mp3]
315,anatomy,anatomie,[sound:anatomie.mp3]
316,eventually,éventuellement,[sound:éventuellement.mp3]
317,change,changer,[sound:changer.mp3]
318,feel,sentir,[sound:sentir.mp3]
319,while,pendant que,[sound:pendant que.mp3]
320,faster,plus rapide,[sound:plus rapide.mp3]
321,etc,etc,[sound:etc.mp3]
322,find,trouver,[sound:trouver.mp3]
323,different,différent,[sound:différent.mp3]
324,less,moins,[sound:moins.mp3]
325,basis,base,[sound:base.mp3]
326,times,temps,[sound:temps.mp3]
327,saying,dire,[sound:dire.mp3]
328,cross,croiser,[sound:croiser.mp3]
329,specific,spécifique,[sound:spécifique.mp3]
330,structure,structure,[sound:structure.mp3]
331,minute,minute,[sound:minute.mp3]
332,super,super,[sound:super.mp3]
333,machines,machines,[sound:machines.mp3]
334,interested,intéressé,[sound:intéressé.mp3]
335,musk,musc,[sound:musc.mp3]
336,wanted,voulu,[sound:voulu.mp3]
337,feels,se sent,[sound:se sent.mp3]
338,cute,mignon,[sound:mignon.mp3]
339,unless,à moins que,[sound:à moins que.mp3]
340,advertisement,publicité,[sound:publicité.mp3]
341,gives,donne,[sound:donne.mp3]
342,though,bien que,[sound:bien que.mp3]
343,shit,merde,[sound:merde.mp3]
344,through,à travers,[sound:à travers.mp3]
345,country,pays,[sound:pays.mp3]
346,reasonable,raisonnable,[sound:raisonnable.mp3]
347,willing,volonté,[sound:volonté.mp3]
348,research,recherche,[sound:recherche.mp3]
349,awkward,maladroit,[sound:maladroit.mp3]
350,worse,pire,[sound:pire.mp3]
351,look,regarder,[sound:regarder.mp3]
352,destroying,détruisant,[sound:détruisant.mp3]
353,especially,surtout,[sound:surtout.mp3]
354,support,soutenir,[sound:soutenir.mp3]
355,changed,changé,[sound:changé.mp3]
356,mass,masse,[sound:masse.mp3]
357,nearly,presque,[sound:presque.mp3]
358,screw,vis,[sound:vis.mp3]
359,cases,cas,[sound:cas.mp3]
360,winning,gagnant,[sound:gagnant.mp3]
361,yes,oui,[sound:oui.mp3]
362,effectively,effectivement,[sound:effectivement.mp3]
363,start,commencer,[sound:commencer.mp3]
364,furthermore,de plus,[sound:de plus.mp3]
365,reach,atteindre,[sound:atteindre.mp3]
366,terms,termes,[sound:termes.mp3]
367,lost,perdu,[sound:perdu.mp3]
368,case,cas,[sound:cas.mp3]
369,still,encore,[sound:encore.mp3]
370,cars,voitures,[sound:voitures.mp3]
371,examples,exemples,[sound:exemples.mp3]
372,gender,genre,[sound:genre.mp3]
373,weak,faible,[sound:faible.mp3]
374,ways,moyens,[sound:moyens.mp3]
375,duper,duper,[sound:duper.mp3]
376,course,cours,[sound:cours.mp3]
377,eat,manger,[sound:manger.mp3]
378,place,lieu,[sound:lieu.mp3]
379,born,né,[sound:né.mp3]
380,consistent,constant,[sound:constant.mp3]
381,luck,chance,[sound:chance.mp3]
382,constantly,constamment,[sound:constamment.mp3]
383,beat,battre,[sound:battre.mp3]
384,only,seulement,[sound:seulement.mp3]
385,both,les deux,[sound:les deux.mp3]
386,chances,chances,[sound:chances.mp3]
387,option,option,[sound:option.mp3]
388,everybody,tout le monde,[sound:tout le monde.mp3]
389,enough,assez,[sound:assez.mp3]
390,gets,obtient,[sound:obtient.mp3]
391,performance,performance,[sound:performance.mp3]
392,mean,moyen,[sound:moyen.mp3]
393,further,plus,[sound:plus.mp3]
394,normally,normalement,[sound:normalement.mp3]
395,parent,parent,[sound:parent.mp3]
396,slower,plus lent,[sound:plus lent.mp3]
397,losing,perdre,[sound:perdre.mp3]
398,wreck,épave,[sound:épave.mp3]
399,fit,s'adapter,[sound:s'adapter.mp3]
400,bar,bar,[sound:bar.mp3]
401,appreciate,apprécier,[sound:apprécier.mp3]
402,wasted,gaspillé,[sound:gaspillé.mp3]
403,understanding,compréhension,[sound:compréhension.mp3]
404,giant,géant,[sound:géant.mp3]
405,near,près de,[sound:près de.mp3]
406,fairy,féerique,[sound:féerique.mp3]
407,unlikely,improbable,[sound:improbable.mp3]
408,narrative,narratif,[sound:narratif.mp3]
409,biased,partial,[sound:partial.mp3]
410,active,actif,[sound:actif.mp3]
411,proportional,proportionnel,[sound:proportionnel.mp3]
412,cultural,culturel,[sound:culturel.mp3]
413,2,2,[sound:2.mp3]
414,size,taille,[sound:taille.mp3]
415,correlation,corrélation,[sound:corrélation.mp3]
416,eats,mange,[sound:mange.mp3]
417,science,science,[sound:science.mp3]
418,everything's,tout est,[sound:tout est.mp3]
419,looking,recherche,[sound:recherche.mp3]
420,adult,adulte,[sound:adulte.mp3]
421,i've,j'ai,[sound:j'ai.mp3]
422,hang,accrocher,[sound:accrocher.mp3]
423,comes,vient,[sound:vient.mp3]
424,1000,1000,[sound:1000.mp3]
425,hearsay,ouï-dire,[sound:ouï-dire.mp3]
426,blindfolded,les yeux bandés,[sound:les yeux bandés.mp3]
427,aspect,aspect,[sound:aspect.mp3]
428,hearing,audition,[sound:audition.mp3]
429,mind,esprit,[sound:esprit.mp3]
430,density,densité,[sound:densité.mp3]
431,fastest,plus rapide,[sound:plus rapide.mp3]
432,tail,queue,[sound:queue.mp3]
433,outrun,plus rapide,[sound:plus rapide.mp3]
434,noticeable,visible,[sound:visible.mp3]
435,eating,manger,[sound:manger.mp3]
436,awesome,génial,[sound:génial.mp3]
437,weird,bizarre,[sound:bizarre.mp3]
438,stage,étape,[sound:étape.mp3]
439,workout,entraînement,[sound:entraînement.mp3]
440,severe,sévère,[sound:sévère.mp3]
441,fifth,cinquième,[sound:cinquième.mp3]
442,days,jours,[sound:jours.mp3]
443,evidence,preuve,[sound:preuve.mp3]
444,aerodynamics,aérodynamique,[sound:aérodynamique.mp3]
445,tale,conte,[sound:conte.mp3]
446,correctly,correctement,[sound:correctement.mp3]
447,won,gagné,[sound:gagné.mp3]
448,rare,rare,[sound:rare.mp3]
449,useless,inutile,[sound:inutile.mp3]
450,wow,wow,[sound:wow.mp3]
451,add,ajouter,[sound:ajouter.mp3]
452,originally,à l'origine,[sound:à l'origine.mp3]
453,rihanna,rihanna,[sound:rihanna.mp3]
454,jail,prison,[sound:prison.mp3]
455,list,liste,[sound:liste.mp3]
456,regarding,concernant,[sound:concernant.mp3]
457,tests,tests,[sound:tests.mp3]
458,middling,moyennement,[sound:moyennement.mp3]
459,immediate,immédiat,[sound:immédiat.mp3]
460,guys,les gars,[sound:les gars.mp3]
461,therefore,donc,[sound:donc.mp3]
462,frame,cadre,[sound:cadre.mp3]
463,back,dos,[sound:dos.mp3]
464,choose,choisir,[sound:choisir.mp3]
465,olympia,olympia,[sound:olympia.mp3]
466,ride,rouler,[sound:rouler.mp3]
467,peels,peaux,[sound:peaux.mp3]
468,hormone,hormone,[sound:hormone.mp3]
469,random,aléatoire,[sound:aléatoire.mp3]
470,unfair,injuste,[sound:injuste.mp3]
471,hard,dur,[sound:dur.mp3]
472,human,humain,[sound:humain.mp3]
473,sit,s'asseoir,[sound:s'asseoir.mp3]
474,over,sur,[sound:sur.mp3]
475,capabilities,capacités,[sound:capacités.mp3]
476,six,six,[sound:six.mp3]
477,false,faux,[sound:faux.mp3]
478,versus,contre,[sound:contre.mp3]
479,room,pièce,[sound:pièce.mp3]
480,crap,merde,[sound:merde.mp3]
481,michael,michael,[sound:michael.mp3]
482,truth,vérité,[sound:vérité.mp3]
483,pinnacle,pinacle,[sound:pinacle.mp3]
484,beach,plage,[sound:plage.mp3]
485,baby,bébé,[sound:bébé.mp3]
486,attacked,attaqué,[sound:attaqué.mp3]
487,wrestling,lutte,[sound:lutte.mp3]
488,humans,humains,[sound:humains.mp3]
489,tries,essaie,[sound:essaie.mp3]
490,called,appelé,[sound:appelé.mp3]
491,considered,considéré,[sound:considéré.mp3]
492,entire,entier,[sound:entier.mp3]
493,changing,changeant,[sound:changeant.mp3]
494,tried,essayé,[sound:essayé.mp3]
495,510,510,[sound:510.mp3]
496,williams,williams,[sound:williams.mp3]
497,khalif,khalif,[sound:khalif.mp3]
498,write,écrire,[sound:écrire.mp3]
499,shorter,plus court,[sound:plus court.mp3]
500,issue,problème,[sound:problème.mp3]
501,testing,test,[sound:test.mp3]
502,lower,plus bas,[sound:plus bas.mp3]
503,commercials,publicités,[sound:publicités.mp3]
504,tomorrow,demain,[sound:demain.mp3]
505,tough,difficile,[sound:difficile.mp3]
506,talked,parlé,[sound:parlé.mp3]
507,unhappy,malheureux,[sound:malheureux.mp3]
508,physically,physiquement,[sound:physiquement.mp3]
509,million,million,[sound:million.mp3]
510,presenting,présentant,[sound:présentant.mp3]
511,wider,plus large,[sound:plus large.mp3]
512,assumes,assume,[sound:assume.mp3]
513,embarrassed,embarrassé,[sound:embarrassé.mp3]
514,glances,regards,[sound:regards.mp3]
515,tournament,tournoi,[sound:tournoi.mp3]
516,air,air,[sound:air.mp3]
517,mad,fou,[sound:fou.mp3]
518,frankly,franchement,[sound:franchement.mp3]
519,share,partager,[sound:partager.mp3]
520,everything,tout,[sound:tout.mp3]
521,belief,croyance,[sound:croyance.mp3]
522,together,ensemble,[sound:ensemble.mp3]
523,competed,en compétition,[sound:en compétition.mp3]
524,may,peut,[sound:peut.mp3]
525,question,question,[sound:question.mp3]
526,seemed,semblait,[sound:semblait.mp3]
527,off,en dehors de,[sound:en dehors de.mp3]
528,walks,marche,[sound:marche.mp3]
529,aman,aman,[sound:aman.mp3]
530,powerful,puissant,[sound:puissant.mp3]
531,future,futur,[sound:futur.mp3]
532,strongest,le plus fort,[sound:le plus fort.mp3]
533,debatable,discutable,[sound:discutable.mp3]
534,use,utiliser,[sound:utiliser.mp3]
535,equally,également,[sound:également.mp3]
536,modifies,modifie,[sound:modifie.mp3]
537,main,principal,[sound:principal.mp3]
538,second,second,[sound:second.mp3]
539,superduper,superduper,[sound:superduper.mp3]
540,biggest,plus grand,[sound:plus grand.mp3]
541,quite,tout à fait,[sound:tout à fait.mp3]
542,credit,crédit,[sound:crédit.mp3]
543,hated,détesté,[sound:détesté.mp3]
544,months,mois,[sound:mois.mp3]
545,somebody's,quelqu'un,[sound:quelqu'un.mp3]
546,sort,sorte,[sound:sorte.mp3]
547,seriously,sérieusement,[sound:sérieusement.mp3]
548,feeling,sentiment,[sound:sentiment.mp3]
549,permanently,en permanence,[sound:en permanence.mp3]
550,girlfriend,ami(e),[sound:ami(e).mp3]
551,task,tâche,[sound:tâche.mp3]
552,true,vrai,[sound:vrai.mp3]
553,sentiment,sentiment,[sound:sentiment.mp3]
554,dumb,stupide,[sound:stupide.mp3]
555,best,meilleur,[sound:meilleur.mp3]
556,decent,décent,[sound:décent.mp3]
557,captivity,captivité,[sound:captivité.mp3]
558,boy,garçon,[sound:garçon.mp3]
559,head,tête,[sound:tête.mp3]
560,breath,souffle,[sound:souffle.mp3]
561,disappoint,décevoir,[sound:décevoir.mp3]
562,misunderstanding,incompréhension,[sound:incompréhension.mp3]
563,extra,supplémentaire,[sound:supplémentaire.mp3]
564,blockers,bloqueurs,[sound:bloqueurs.mp3]
565,floor,plancher,[sound:plancher.mp3]
566,hear,entendre,[sound:entendre.mp3]
567,fight,combattre,[sound:combattre.mp3]
568,sucks,suce,[sound:suce.mp3]
569,chance,chance,[sound:chance.mp3]
570,sports,sport,[sound:sport.mp3]
571,control,contrôle,[sound:contrôle.mp3]
572,due,dû,[sound:dû.mp3]
573,kisses,baisers,[sound:baisers.mp3]
574,fantastic,fantastique,[sound:fantastique.mp3]
575,overset,dépassé,[sound:dépassé.mp3]
576,sport,sport,[sound:sport.mp3]
577,coming,à venir,[sound:à venir.mp3]
578,walk,marcher,[sound:marcher.mp3]
579,gotten,obtenu,[sound:obtenu.mp3]
580,upper,supérieur,[sound:supérieur.mp3]
581,advertising,publicité,[sound:publicité.mp3]
582,bullshit,connerie,[sound:connerie.mp3]
583,lee,laisser,[sound:laisser.mp3]
584,objective,objectif,[sound:objectif.mp3]
585,110,110,[sound:110.mp3]
586,engines,moteurs,[sound:moteurs.mp3]
587,above,ci-dessus,[sound:ci-dessus.mp3]
588,state,état,[sound:état.mp3]
589,runner,coureur,[sound:coureur.mp3]
590,10,10,[sound:10.mp3]
591,11,11,[sound:11.mp3]
592,cares,soins,[sound:soins.mp3]
593,14,14,[sound:14.mp3]
594,old,vieux,[sound:vieux.mp3]
595,opposite,opposé,[sound:opposé.mp3]
596,chassis,châssis,[sound:châssis.mp3]
597,sue,poursuivre,[sound:poursuivre.mp3]
598,worlds,mondes,[sound:mondes.mp3]
599,perfectly,parfaitement,[sound:parfaitement.mp3]
600,cut,couper,[sound:couper.mp3]
601,seniors,seniors,[sound:seniors.mp3]
602,another,autre,[sound:autre.mp3]
603,dollars,dollars,[sound:dollars.mp3]
604,believe,croire,[sound:croire.mp3]
605,seen,vu,[sound:vu.mp3]
606,moment,moment,[sound:moment.mp3]
607,30,30,[sound:30.mp3]
608,apart,à part,[sound:à part.mp3]
609,genetic,génétique,[sound:génétique.mp3]
610,black,noir,[sound:noir.mp3]
611,entirely,entièrement,[sound:entièrement.mp3]
612,tour,tour,[sound:tour.mp3]
613,such,tel,[sound:tel.mp3]
614,absolute,absolu,[sound:absolu.mp3]
615,serena,séréna,[sound:séréna.mp3]
616,strength,force,[sound:force.mp3]
617,castle,château,[sound:château.mp3]
618,instinct,instinct,[sound:instinct.mp3]
619,lie,mensonge,[sound:mensonge.mp3]
620,zero,zéro,[sound:zéro.mp3]
621,amazing,incroyable,[sound:incroyable.mp3]
622,huge,énorme,[sound:énorme.mp3]
623,results,résultats,[sound:résultats.mp3]
624,ruin,ruine,[sound:ruine.mp3]
625,fills,remplit,[sound:remplit.mp3]
626,sidewalk,trottoir,[sound:trottoir.mp3]
627,given,donné,[sound:donné.mp3]
628,treated,traité,[sound:traité.mp3]
629,last,dernier,[sound:dernier.mp3]
630,wash,laver,[sound:laver.mp3]
631,uncomfortable,inconfortable,[sound:inconfortable.mp3]
632,engineering,ingénierie,[sound:ingénierie.mp3]
633,finding,trouver,[sound:trouver.mp3]
634,whatever,quoi qu'il en soit,[sound:quoi qu'il en soit.mp3]
635,once,une fois,[sound:une fois.mp3]
636,campaign,campagne,[sound:campagne.mp3]
637,assume,supposer,[sound:supposer.mp3]
638,drop,chute,[sound:chute.mp3]
639,doing,faire,[sound:faire.mp3]
640,asking,demander,[sound:demander.mp3]
641,physique,physique,[sound:physique.mp3]
642,adults,adultes,[sound:adultes.mp3]
643,proper,correct,[sound:correct.mp3]
644,conclusion,conclusion,[sound:conclusion.mp3]
645,ends,fin,[sound:fin.mp3]
646,gas,gaz,[sound:gaz.mp3]
647,lies,mensonges,[sound:mensonges.mp3]
648,75,75,[sound:75.mp3]
649,punching,coup de poing,[sound:coup de poing.mp3]
650,again,à nouveau,[sound:à nouveau.mp3]
651,weaker,plus faible,[sound:plus faible.mp3]
652,bone,os,[sound:os.mp3]
653,i'll,je,[sound:je.mp3]
