,Front,Back,Audio
27,billions ,des milliards ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/des milliards .mp3]
28,what does that mean? ,qu'est ce que ça veut dire? ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/qu'est ce que ça veut dire? .mp3]
29,up and down ,haut et bas ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/haut et bas .mp3]
30,that's why ,c'est pour ça ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/c'est pour ça .mp3]
31,many ,beaucoup ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/beaucoup .mp3]
32,chips,puces,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/puces.mp3]
33,everywhere ,partout ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/partout .mp3]
34,cheat ,tromper ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/tromper .mp3]
35,months,mois,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/mois.mp3]
36,successful ,réussi ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/réussi .mp3]
37,it would never have been ,ça n'aurait jamais été ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ça n'aurait jamais été .mp3]
38,I would have ,j'aurais eu ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/j'aurais eu .mp3]
39,past participle ,participe passé ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/participe passé .mp3]
40,I had ,j'ai eu ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/j'ai eu .mp3]
41,worse ,pire ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/pire .mp3]
42,by yourself ,par toi même ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/par toi même .mp3]
43,je ne savais pas ,je ne savais pas ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/je ne savais pas .mp3]
44,Piece of French ,Piece of French ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Piece of French .mp3]
45,obviously ,évidemment ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/évidemment .mp3]
46,she speaks very slowly ,elle parle très lentement ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/elle parle très lentement .mp3]
47,I have no choice ,je n'ai pas de choix ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/je n'ai pas de choix .mp3]
48,It seems that ,Il parait que ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/Il parait que .mp3]
49,at my parents' house ,chez mes parents ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/chez mes parents .mp3]
50,it's going to be okay ,ça va être okay ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ça va être okay .mp3]
51,i wanted to live ,je voulais vivre ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/je voulais vivre .mp3]
52,salary,salaire,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/salaire.mp3]
53,unfortunately ,malheureusement ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/malheureusement .mp3]
54,disappointing ,décevant ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/décevant .mp3]
55,strikes ,les grèves ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/les grèves .mp3]
56,rights ,les droits ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/les droits .mp3]
57,who do anything ,qui font n'importe quoi ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/qui font n'importe quoi .mp3]
58,scary ,qui fait peur ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/qui fait peur .mp3]
59,I've heard it said ,j'ai entendu dire ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/j'ai entendu dire .mp3]
60,impatient ,impatients ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/impatients .mp3]
61,they can't wait ,ils ont hâte ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ils ont hâte .mp3]
62,office ,bureau ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/bureau .mp3]
63,small convo ,petites convo ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/petites convo .mp3]
64,right to the point ,droit au but ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/droit au but .mp3]
65,on leave ,en congés ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/en congés .mp3]
66,logic ,logique ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/logique .mp3]
67,an internship ,un stage ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/un stage .mp3]
68,water dispenser ,distributeur d'eau ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/distributeur d'eau .mp3]
69,gossip ,potins ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/potins .mp3]
70,they all ,ils ont tous ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ils ont tous .mp3]
71,they don't care ,ils s'en fichent ,[sound:/Users/033103kennedymensah/Python_Automation_Projects/Text FIle Setup/media/ils s'en fichent .mp3]
