,Front,Back,Audio
193,punch somebody in the  ,de donner un coup de poing à quelqu'un  ,[sound:de donner un coup de poing à quelqu'un  .mp3]
194,win some they lose  ,"certains gagnent, d'autres perdent  ","[sound:certains gagnent, d'autres perdent  .mp3]"
195,they could be in  ,ils pourraient être dans  ,[sound:ils pourraient être dans  .mp3]
196,punched him in the  ,l'a frappé dans le  ,[sound:l'a frappé dans le  .mp3]
197,you didn't research a  ,vous n'avez pas fait de recherches  ,[sound:vous n'avez pas fait de recherches  .mp3]
198,that we do not  ,que nous n'avons pas  ,[sound:que nous n'avons pas  .mp3]
199,you know being a  ,Il n'y a pas d'autre solution que d'être un  ,[sound:Il n'y a pas d'autre solution que d'être un  .mp3]
200,oh i like you  ,"Oh, je t'aime bien  ","[sound:Oh, je t'aime bien  .mp3]"
201,going to be able  ,il va être capable de  ,[sound:il va être capable de  .mp3]
202,that there's going to  ,qu'il va y avoir  ,[sound:qu'il va y avoir  .mp3]
203,it's supposed to be  ,c'est censé être  ,[sound:c'est censé être  .mp3]
204,or at the very  ,ou au moins  ,[sound:ou au moins  .mp3]
205,how she's gonna be  ,de la façon dont elle va l'être  ,[sound:de la façon dont elle va l'être  .mp3]
206,they win some they  ,ils gagnent des ils  ,[sound:ils gagnent des ils  .mp3]
207,don't know whether or,ne savent pas si ou,[sound:ne savent pas si ou.mp3]
